survey_no,routeID,route_no,survey.starting,Date,Year,Month,time_point,total_count,CNR,Lat,Lon,CNR_c,time_point_c,Month_c,Lat_c,Lon_c
1,Sidghora,1,2014-05-06T06:11:00Z,2014-05-06,2014,5,1,107,1,22.802352,86.231547,0.298780487804878,-4.28834355828221,-4.07317073170732,0.00255600609756002,0.0222437987804938
2,Bistupur,2,2014-05-06T05:54:00Z,2014-05-06,2014,5,1,73,1,22.791121,86.179624,0.298780487804878,-4.28834355828221,-4.07317073170732,-0.00867499390243864,-0.0296792012195084
3,Sonari,3,2014-05-06T06:06:00Z,2014-05-06,2014,5,1,91,1,22.819303,86.173785,0.298780487804878,-4.28834355828221,-4.07317073170732,0.0195070060975624,-0.0355182012195172
4,Mango II,4,2014-05-07T06:10:00Z,2014-05-07,2014,5,1,237,0,22.830661,86.230961,-0.701219512195122,-4.28834355828221,-4.07317073170732,0.0308650060975602,0.0216577987804811
5,Telco,5,2014-05-07T06:00:00Z,2014-05-07,2014,5,1,116,1,22.781598,86.232524,0.298780487804878,-4.28834355828221,-4.07317073170732,-0.0181979939024401,0.0232207987804856
6,Jugsalai,6,2014-05-07T05:45:00Z,2014-05-07,2014,5,1,75,1,22.763927,86.18805,0.298780487804878,-4.28834355828221,-4.07317073170732,-0.0358689939024401,-0.0212532012195084
7,Mango I,7,2014-05-07T06:00:00Z,2014-05-07,2014,5,1,145,0,22.830661,86.230961,-0.701219512195122,-4.28834355828221,-4.07317073170732,0.0308650060975602,0.0216577987804811
8,Golmuri,8,2014-05-08T06:15:00Z,2014-05-08,2014,5,1,127,1,22.796953,86.216913,0.298780487804878,-4.28834355828221,-4.07317073170732,-0.00284299390244058,0.00760979878049284
9,Baridih,9,2014-05-08T06:15:00Z,2014-05-08,2014,5,1,89,1,22.805245,86.251201,0.298780487804878,-4.28834355828221,-4.07317073170732,0.00544900609756027,0.0418977987804823
10,Adityapur,10,2014-05-08T07:30:00Z,2014-05-08,2014,5,1,106,0,22.78303,86.151335,-0.701219512195122,-4.28834355828221,-4.07317073170732,-0.0167659939024389,-0.0579682012195093
11,Jugsalai,6,2014-05-09T05:45:00Z,2014-05-09,2014,5,1,161,1,22.763927,86.18805,0.298780487804878,-4.28834355828221,-4.07317073170732,-0.0358689939024401,-0.0212532012195084
12,Mango II,4,2014-05-09T05:50:00Z,2014-05-09,2014,5,1,204,0,22.830661,86.230961,-0.701219512195122,-4.28834355828221,-4.07317073170732,0.0308650060975602,0.0216577987804811
13,Baridih,9,2014-11-04T06:47:00Z,2014-11-04,2014,11,2,161,1,22.805245,86.251201,0.298780487804878,-3.28834355828221,1.92682926829268,0.00544900609756027,0.0418977987804823
14,Telco,5,2014-11-04T07:56:00Z,2014-11-04,2014,11,2,147,1,22.781598,86.232524,0.298780487804878,-3.28834355828221,1.92682926829268,-0.0181979939024401,0.0232207987804856
15,Golmuri,8,2014-11-04T06:58:00Z,2014-11-04,2014,11,2,139,1,22.796953,86.216913,0.298780487804878,-3.28834355828221,1.92682926829268,-0.00284299390244058,0.00760979878049284
16,Baridih,9,2014-11-05T06:49:00Z,2014-11-05,2014,11,2,155,1,22.805245,86.251201,0.298780487804878,-3.28834355828221,1.92682926829268,0.00544900609756027,0.0418977987804823
17,Telco,5,2014-11-05T07:49:00Z,2014-11-05,2014,11,2,152,1,22.781598,86.232524,0.298780487804878,-3.28834355828221,1.92682926829268,-0.0181979939024401,0.0232207987804856
18,Adityapur,10,2014-11-07T06:35:00Z,2014-11-07,2014,11,2,113,0,22.78303,86.151335,-0.701219512195122,-3.28834355828221,1.92682926829268,-0.0167659939024389,-0.0579682012195093
19,Golmuri,8,2014-11-05T06:58:00Z,2014-11-05,2014,11,2,120,1,22.796953,86.216913,0.298780487804878,-3.28834355828221,1.92682926829268,-0.00284299390244058,0.00760979878049284
20,Bistupur,2,2014-11-06T06:40:00Z,2014-11-06,2014,11,2,98,1,22.791121,86.179624,0.298780487804878,-3.28834355828221,1.92682926829268,-0.00867499390243864,-0.0296792012195084
21,Bistupur,2,2014-11-07T06:18:00Z,2014-11-07,2014,11,2,104,1,22.791121,86.179624,0.298780487804878,-3.28834355828221,1.92682926829268,-0.00867499390243864,-0.0296792012195084
22,Mango I,7,2014-11-08T06:40:00Z,2014-11-08,2014,11,2,181,0,22.830661,86.230961,-0.701219512195122,-3.28834355828221,1.92682926829268,0.0308650060975602,0.0216577987804811
23,Mango II,4,2014-11-08T06:19:00Z,2014-11-08,2014,11,2,215,0,22.830661,86.230961,-0.701219512195122,-3.28834355828221,1.92682926829268,0.0308650060975602,0.0216577987804811
24,Adityapur,10,2014-11-08T06:48:00Z,2014-11-08,2014,11,2,146,0,22.78303,86.151335,-0.701219512195122,-3.28834355828221,1.92682926829268,-0.0167659939024389,-0.0579682012195093
25,Sonari,3,2014-11-10T06:39:00Z,2014-11-10,2014,11,2,100,1,22.819303,86.173785,0.298780487804878,-3.28834355828221,1.92682926829268,0.0195070060975624,-0.0355182012195172
26,Mango I,7,2014-11-09T06:38:00Z,2014-11-09,2014,11,2,214,0,22.830661,86.230961,-0.701219512195122,-3.28834355828221,1.92682926829268,0.0308650060975602,0.0216577987804811
27,Jugsalai,6,2014-11-09T06:36:00Z,2014-11-09,2014,11,2,166,1,22.763927,86.18805,0.298780487804878,-3.28834355828221,1.92682926829268,-0.0358689939024401,-0.0212532012195084
28,Jugsalai,6,2014-11-10T06:25:00Z,2014-11-10,2014,11,2,158,1,22.763927,86.18805,0.298780487804878,-3.28834355828221,1.92682926829268,-0.0358689939024401,-0.0212532012195084
29,Mango II,4,2014-11-09T06:20:00Z,2014-11-09,2014,11,2,217,0,22.830661,86.230961,-0.701219512195122,-3.28834355828221,1.92682926829268,0.0308650060975602,0.0216577987804811
30,Sidghora,1,2014-11-12T07:05:00Z,2014-11-12,2014,11,2,112,1,22.802352,86.231547,0.298780487804878,-3.28834355828221,1.92682926829268,0.00255600609756002,0.0222437987804938
31,Sidghora,1,2014-11-13T07:19:00Z,2014-11-13,2014,11,2,109,1,22.802352,86.231547,0.298780487804878,-3.28834355828221,1.92682926829268,0.00255600609756002,0.0222437987804938
32,Golmuri,8,2015-05-11T05:53:00Z,2015-05-11,2015,5,3,117,1,22.796953,86.216913,0.298780487804878,-2.28834355828221,-4.07317073170732,-0.00284299390244058,0.00760979878049284
33,Golmuri,8,2015-05-12T05:59:00Z,2015-05-12,2015,5,3,133,1,22.796953,86.216913,0.298780487804878,-2.28834355828221,-4.07317073170732,-0.00284299390244058,0.00760979878049284
34,Bistupur,2,2015-05-13T05:31:00Z,2015-05-13,2015,5,3,108,1,22.791121,86.179624,0.298780487804878,-2.28834355828221,-4.07317073170732,-0.00867499390243864,-0.0296792012195084
35,Telco,5,2015-05-11T06:00:00Z,2015-05-11,2015,5,3,83,1,22.781598,86.232524,0.298780487804878,-2.28834355828221,-4.07317073170732,-0.0181979939024401,0.0232207987804856
36,Telco,5,2015-05-12T06:00:00Z,2015-05-12,2015,5,3,87,1,22.781598,86.232524,0.298780487804878,-2.28834355828221,-4.07317073170732,-0.0181979939024401,0.0232207987804856
37,Jugsalai,6,2015-05-13T05:47:00Z,2015-05-13,2015,5,3,139,1,22.763927,86.18805,0.298780487804878,-2.28834355828221,-4.07317073170732,-0.0358689939024401,-0.0212532012195084
40,Jugsalai,6,2015-05-14T05:33:00Z,2015-05-14,2015,5,3,149,1,22.763927,86.18805,0.298780487804878,-2.28834355828221,-4.07317073170732,-0.0358689939024401,-0.0212532012195084
41,Baridih,9,2015-05-15T05:40:00Z,2015-05-15,2015,5,3,144,1,22.805245,86.251201,0.298780487804878,-2.28834355828221,-4.07317073170732,0.00544900609756027,0.0418977987804823
42,Baridih,9,2015-05-16T05:46:00Z,2015-05-16,2015,5,3,138,1,22.805245,86.251201,0.298780487804878,-2.28834355828221,-4.07317073170732,0.00544900609756027,0.0418977987804823
43,Sonari,3,2015-05-17T05:28:00Z,2015-05-17,2015,5,3,123,1,22.819303,86.173785,0.298780487804878,-2.28834355828221,-4.07317073170732,0.0195070060975624,-0.0355182012195172
44,Sonari,3,2015-05-18T05:35:00Z,2015-05-18,2015,5,3,111,1,22.819303,86.173785,0.298780487804878,-2.28834355828221,-4.07317073170732,0.0195070060975624,-0.0355182012195172
45,Sidghora,1,2015-05-15T05:25:00Z,2015-05-15,2015,5,3,121,1,22.802352,86.231547,0.298780487804878,-2.28834355828221,-4.07317073170732,0.00255600609756002,0.0222437987804938
46,Bistupur,2,2015-05-14T05:27:00Z,2015-05-14,2015,5,3,113,1,22.791121,86.179624,0.298780487804878,-2.28834355828221,-4.07317073170732,-0.00867499390243864,-0.0296792012195084
47,Sidghora,1,2015-05-16T06:23:00Z,2015-05-16,2015,5,3,134,1,22.802352,86.231547,0.298780487804878,-2.28834355828221,-4.07317073170732,0.00255600609756002,0.0222437987804938
48,Mango I,7,2015-05-17T05:30:00Z,2015-05-17,2015,5,3,195,0,22.830661,86.230961,-0.701219512195122,-2.28834355828221,-4.07317073170732,0.0308650060975602,0.0216577987804811
49,Mango I,7,2015-05-18T05:30:00Z,2015-05-18,2015,5,3,0,0,22.830661,86.230961,-0.701219512195122,-2.28834355828221,-4.07317073170732,0.0308650060975602,0.0216577987804811
50,Mango II,4,2015-05-19T05:30:00Z,2015-05-19,2015,5,3,0,0,22.830661,86.230961,-0.701219512195122,-2.28834355828221,-4.07317073170732,0.0308650060975602,0.0216577987804811
51,Mango II,4,2015-05-20T05:30:00Z,2015-05-20,2015,5,3,308,0,22.830661,86.230961,-0.701219512195122,-2.28834355828221,-4.07317073170732,0.0308650060975602,0.0216577987804811
53,Adityapur,10,2015-05-20T05:45:00Z,2015-05-20,2015,5,3,139,0,22.78303,86.151335,-0.701219512195122,-2.28834355828221,-4.07317073170732,-0.0167659939024389,-0.0579682012195093
54,Adityapur,10,2015-05-19T05:41:00Z,2015-05-19,2015,5,3,0,0,22.78303,86.151335,-0.701219512195122,-2.28834355828221,-4.07317073170732,-0.0167659939024389,-0.0579682012195093
56,Sidghora,1,2015-11-07T07:04:00Z,2015-11-07,2015,11,4,120,1,22.802352,86.231547,0.298780487804878,-1.28834355828221,1.92682926829268,0.00255600609756002,0.0222437987804938
57,Sidghora,1,2015-11-08T07:04:00Z,2015-11-08,2015,11,4,128,1,22.802352,86.231547,0.298780487804878,-1.28834355828221,1.92682926829268,0.00255600609756002,0.0222437987804938
58,Telco,5,2015-11-09T07:48:00Z,2015-11-09,2015,11,4,134,1,22.781598,86.232524,0.298780487804878,-1.28834355828221,1.92682926829268,-0.0181979939024401,0.0232207987804856
59,Telco,5,2015-11-10T07:49:00Z,2015-11-10,2015,11,4,118,1,22.781598,86.232524,0.298780487804878,-1.28834355828221,1.92682926829268,-0.0181979939024401,0.0232207987804856
64,Baridih,9,2015-11-11T06:46:00Z,2015-11-11,2015,11,4,135,1,22.805245,86.251201,0.298780487804878,-1.28834355828221,1.92682926829268,0.00544900609756027,0.0418977987804823
65,Bistupur,2,2015-11-11T06:18:00Z,2015-11-11,2015,11,4,113,1,22.791121,86.179624,0.298780487804878,-1.28834355828221,1.92682926829268,-0.00867499390243864,-0.0296792012195084
66,Golmuri,8,2015-11-12T06:58:00Z,2015-11-12,2015,11,4,144,1,22.796953,86.216913,0.298780487804878,-1.28834355828221,1.92682926829268,-0.00284299390244058,0.00760979878049284
67,Golmuri,8,2015-11-12T06:58:00Z,2015-11-12,2015,11,4,110,1,22.796953,86.216913,0.298780487804878,-1.28834355828221,1.92682926829268,-0.00284299390244058,0.00760979878049284
68,Bistupur,2,2015-11-12T06:18:00Z,2015-11-12,2015,11,4,95,1,22.791121,86.179624,0.298780487804878,-1.28834355828221,1.92682926829268,-0.00867499390243864,-0.0296792012195084
69,Baridih,9,2015-11-12T06:47:00Z,2015-11-12,2015,11,4,139,1,22.805245,86.251201,0.298780487804878,-1.28834355828221,1.92682926829268,0.00544900609756027,0.0418977987804823
70,Mango I,7,2015-11-13T06:38:00Z,2015-11-13,2015,11,4,243,0,22.830661,86.230961,-0.701219512195122,-1.28834355828221,1.92682926829268,0.0308650060975602,0.0216577987804811
71,Golmuri,8,2015-11-13T06:58:00Z,2015-11-13,2015,11,4,144,1,22.796953,86.216913,0.298780487804878,-1.28834355828221,1.92682926829268,-0.00284299390244058,0.00760979878049284
72,Golmuri,8,2015-11-13T06:58:00Z,2015-11-13,2015,11,4,195,1,22.796953,86.216913,0.298780487804878,-1.28834355828221,1.92682926829268,-0.00284299390244058,0.00760979878049284
73,Mango II,4,2015-11-13T06:19:00Z,2015-11-13,2015,11,4,192,0,22.830661,86.230961,-0.701219512195122,-1.28834355828221,1.92682926829268,0.0308650060975602,0.0216577987804811
74,Mango I,7,2015-11-14T06:38:00Z,2015-11-14,2015,11,4,253,0,22.830661,86.230961,-0.701219512195122,-1.28834355828221,1.92682926829268,0.0308650060975602,0.0216577987804811
75,Mango II,4,2015-11-14T06:19:00Z,2015-11-14,2015,11,4,178,0,22.830661,86.230961,-0.701219512195122,-1.28834355828221,1.92682926829268,0.0308650060975602,0.0216577987804811
76,Jugsalai,6,2015-11-14T06:25:00Z,2015-11-14,2015,11,4,174,1,22.763927,86.18805,0.298780487804878,-1.28834355828221,1.92682926829268,-0.0358689939024401,-0.0212532012195084
77,Adityapur,10,2015-11-15T06:35:00Z,2015-11-15,2015,11,4,165,0,22.78303,86.151335,-0.701219512195122,-1.28834355828221,1.92682926829268,-0.0167659939024389,-0.0579682012195093
78,Jugsalai,6,2015-11-15T06:25:00Z,2015-11-15,2015,11,4,212,1,22.763927,86.18805,0.298780487804878,-1.28834355828221,1.92682926829268,-0.0358689939024401,-0.0212532012195084
79,Sonari,3,2015-11-15T06:39:00Z,2015-11-15,2015,11,4,172,1,22.819303,86.173785,0.298780487804878,-1.28834355828221,1.92682926829268,0.0195070060975624,-0.0355182012195172
80,Sonari,3,2015-11-16T06:39:00Z,2015-11-16,2015,11,4,142,1,22.819303,86.173785,0.298780487804878,-1.28834355828221,1.92682926829268,0.0195070060975624,-0.0355182012195172
81,Adityapur,10,2015-11-16T06:35:00Z,2015-11-16,2015,11,4,177,0,22.78303,86.151335,-0.701219512195122,-1.28834355828221,1.92682926829268,-0.0167659939024389,-0.0579682012195093
82,Sidghora,1,2016-05-10T05:30:00Z,2016-05-10,2016,5,5,115,1,22.802352,86.231547,0.298780487804878,-0.288343558282208,-4.07317073170732,0.00255600609756002,0.0222437987804938
83,Sidghora,1,2016-05-11T05:30:00Z,2016-05-11,2016,5,5,99,1,22.802352,86.231547,0.298780487804878,-0.288343558282208,-4.07317073170732,0.00255600609756002,0.0222437987804938
84,Bistupur,2,2016-05-18T05:29:00Z,2016-05-18,2016,5,5,98,1,22.791121,86.179624,0.298780487804878,-0.288343558282208,-4.07317073170732,-0.00867499390243864,-0.0296792012195084
85,Mango II,4,2016-05-16T05:34:00Z,2016-05-16,2016,5,5,175,0,22.830661,86.230961,-0.701219512195122,-0.288343558282208,-4.07317073170732,0.0308650060975602,0.0216577987804811
86,Mango II,4,2016-05-17T05:35:00Z,2016-05-17,2016,5,5,143,0,22.830661,86.230961,-0.701219512195122,-0.288343558282208,-4.07317073170732,0.0308650060975602,0.0216577987804811
87,Telco,5,2016-05-12T05:29:00Z,2016-05-12,2016,5,5,121,1,22.781598,86.232524,0.298780487804878,-0.288343558282208,-4.07317073170732,-0.0181979939024401,0.0232207987804856
88,Mango I,7,2016-05-16T05:36:00Z,2016-05-16,2016,5,5,266,0,22.830661,86.230961,-0.701219512195122,-0.288343558282208,-4.07317073170732,0.0308650060975602,0.0216577987804811
89,Mango I,7,2016-05-17T05:35:00Z,2016-05-17,2016,5,5,277,0,22.830661,86.230961,-0.701219512195122,-0.288343558282208,-4.07317073170732,0.0308650060975602,0.0216577987804811
