survey_no,routeID,route_no,survey.starting,Date,Year,Month,time_point,total_count,CNR,Lat,Lon,CNR_c,time_point_c,Month_c,Lat_c,Lon_c
90,Telco,5,2016-05-13T05:29:00Z,2016-05-13,2016,5,5,132,1,22.781598,86.232524,0.298780487804878,-0.288343558282208,-4.07317073170732,-0.0181979939024401,0.0232207987804856
91,Golmuri,8,2016-05-14T05:36:00Z,2016-05-14,2016,5,5,161,1,22.796953,86.216913,0.298780487804878,-0.288343558282208,-4.07317073170732,-0.00284299390244058,0.00760979878049284
92,Golmuri,8,2016-05-15T05:29:00Z,2016-05-15,2016,5,5,139,1,22.796953,86.216913,0.298780487804878,-0.288343558282208,-4.07317073170732,-0.00284299390244058,0.00760979878049284
97,Adityapur,10,2016-05-20T05:29:00Z,2016-05-20,2016,5,5,203,0,22.78303,86.151335,-0.701219512195122,-0.288343558282208,-4.07317073170732,-0.0167659939024389,-0.0579682012195093
98,Sonari,3,2016-05-20T05:42:00Z,2016-05-20,2016,5,5,123,1,22.819303,86.173785,0.298780487804878,-0.288343558282208,-4.07317073170732,0.0195070060975624,-0.0355182012195172
99,Bistupur,2,2016-05-19T05:29:00Z,2016-05-19,2016,5,5,107,1,22.791121,86.179624,0.298780487804878,-0.288343558282208,-4.07317073170732,-0.00867499390243864,-0.0296792012195084
100,Baridih,9,2016-05-16T05:31:00Z,2016-05-16,2016,5,5,116,1,22.805245,86.251201,0.298780487804878,-0.288343558282208,-4.07317073170732,0.00544900609756027,0.0418977987804823
101,Baridih,9,2016-05-19T05:30:00Z,2016-05-19,2016,5,5,111,1,22.805245,86.251201,0.298780487804878,-0.288343558282208,-4.07317073170732,0.00544900609756027,0.0418977987804823
102,Jugsalai,6,2016-05-20T05:30:00Z,2016-05-20,2016,5,5,132,1,22.763927,86.18805,0.298780487804878,-0.288343558282208,-4.07317073170732,-0.0358689939024401,-0.0212532012195084
103,Adityapur,10,2016-05-21T05:29:00Z,2016-05-21,2016,5,5,223,0,22.78303,86.151335,-0.701219512195122,-0.288343558282208,-4.07317073170732,-0.0167659939024389,-0.0579682012195093
104,Sonari,3,2016-05-21T05:30:00Z,2016-05-21,2016,5,5,125,1,22.819303,86.173785,0.298780487804878,-0.288343558282208,-4.07317073170732,0.0195070060975624,-0.0355182012195172
105,Jugsalai,6,2016-05-21T05:30:00Z,2016-05-21,2016,5,5,171,1,22.763927,86.18805,0.298780487804878,-0.288343558282208,-4.07317073170732,-0.0358689939024401,-0.0212532012195084
106,Baridih,9,2016-07-01T05:29:00Z,2016-07-01,2016,7,,93,1,22.805245,86.251201,0.298780487804878,,-2.07317073170732,0.00544900609756027,0.0418977987804823
107,Sidghora,1,2016-10-31T07:04:00Z,2016-10-31,2016,11,6,115,1,22.802352,86.231547,0.298780487804878,0.711656441717792,1.92682926829268,0.00255600609756002,0.0222437987804938
108,Sidghora,1,2016-11-01T07:04:00Z,2016-11-01,2016,11,6,110,1,22.802352,86.231547,0.298780487804878,0.711656441717792,1.92682926829268,0.00255600609756002,0.0222437987804938
109,Bistupur,2,2016-11-04T06:17:00Z,2016-11-04,2016,11,6,111,1,22.791121,86.179624,0.298780487804878,0.711656441717792,1.92682926829268,-0.00867499390243864,-0.0296792012195084
110,Bistupur,2,2016-11-05T06:18:00Z,2016-11-05,2016,11,6,131,1,22.791121,86.179624,0.298780487804878,0.711656441717792,1.92682926829268,-0.00867499390243864,-0.0296792012195084
111,Sonari,3,2016-11-03T06:39:00Z,2016-11-03,2016,11,6,129,1,22.819303,86.173785,0.298780487804878,0.711656441717792,1.92682926829268,0.0195070060975624,-0.0355182012195172
112,Sonari,3,2016-11-04T06:39:00Z,2016-11-04,2016,11,6,143,1,22.819303,86.173785,0.298780487804878,0.711656441717792,1.92682926829268,0.0195070060975624,-0.0355182012195172
113,Mango II,4,2016-11-05T06:19:00Z,2016-11-05,2016,11,6,168,0,22.830661,86.230961,-0.701219512195122,0.711656441717792,1.92682926829268,0.0308650060975602,0.0216577987804811
114,Mango II,4,2016-11-06T06:19:00Z,2016-11-06,2016,11,6,176,0,22.830661,86.230961,-0.701219512195122,0.711656441717792,1.92682926829268,0.0308650060975602,0.0216577987804811
115,Telco,5,2016-11-02T07:48:00Z,2016-11-02,2016,11,6,120,1,22.781598,86.232524,0.298780487804878,0.711656441717792,1.92682926829268,-0.0181979939024401,0.0232207987804856
116,Telco,5,2016-11-03T07:48:00Z,2016-11-03,2016,11,6,126,1,22.781598,86.232524,0.298780487804878,0.711656441717792,1.92682926829268,-0.0181979939024401,0.0232207987804856
118,Mango I,7,2016-11-05T06:37:00Z,2016-11-05,2016,11,6,144,0,22.830661,86.230961,-0.701219512195122,0.711656441717792,1.92682926829268,0.0308650060975602,0.0216577987804811
119,Mango I,7,2016-11-06T06:37:00Z,2016-11-06,2016,11,6,180,0,22.830661,86.230961,-0.701219512195122,0.711656441717792,1.92682926829268,0.0308650060975602,0.0216577987804811
121,Golmuri,8,2016-11-02T06:58:00Z,2016-11-02,2016,11,6,113,1,22.796953,86.216913,0.298780487804878,0.711656441717792,1.92682926829268,-0.00284299390244058,0.00760979878049284
122,Baridih,9,2016-11-01T06:47:00Z,2016-11-01,2016,11,6,132,1,22.805245,86.251201,0.298780487804878,0.711656441717792,1.92682926829268,0.00544900609756027,0.0418977987804823
123,Baridih,9,2016-11-02T06:46:00Z,2016-11-02,2016,11,6,132,1,22.805245,86.251201,0.298780487804878,0.711656441717792,1.92682926829268,0.00544900609756027,0.0418977987804823
124,Adityapur,10,2016-11-03T06:34:00Z,2016-11-03,2016,11,6,147,0,22.78303,86.151335,-0.701219512195122,0.711656441717792,1.92682926829268,-0.0167659939024389,-0.0579682012195093
125,Adityapur,10,2016-11-04T06:34:00Z,2016-11-04,2016,11,6,159,0,22.78303,86.151335,-0.701219512195122,0.711656441717792,1.92682926829268,-0.0167659939024389,-0.0579682012195093
126,Jugsalai,6,2016-11-08T06:24:00Z,2016-11-08,2016,11,6,237,1,22.763927,86.18805,0.298780487804878,0.711656441717792,1.92682926829268,-0.0358689939024401,-0.0212532012195084
127,Jugsalai,6,2016-11-07T06:24:00Z,2016-11-07,2016,11,6,184,1,22.763927,86.18805,0.298780487804878,0.711656441717792,1.92682926829268,-0.0358689939024401,-0.0212532012195084
128,Jugsalai,6,2016-11-09T06:25:00Z,2016-11-09,2016,11,6,234,1,22.763927,86.18805,0.298780487804878,0.711656441717792,1.92682926829268,-0.0358689939024401,-0.0212532012195084
129,Mango I,7,2016-11-10T06:37:00Z,2016-11-10,2016,11,6,212,0,22.830661,86.230961,-0.701219512195122,0.711656441717792,1.92682926829268,0.0308650060975602,0.0216577987804811
130,Mango I,7,2016-11-12T06:38:00Z,2016-11-12,2016,11,6,216,0,22.830661,86.230961,-0.701219512195122,0.711656441717792,1.92682926829268,0.0308650060975602,0.0216577987804811
132,Sidghora,1,2017-11-04T06:59:00Z,2017-11-04,2017,11,8,131,1,22.802352,86.231547,0.298780487804878,2.71165644171779,1.92682926829268,0.00255600609756002,0.0222437987804938
135,Bistupur,2,2017-11-10T06:15:00Z,2017-11-10,2017,11,8,88,1,22.791121,86.179624,0.298780487804878,2.71165644171779,1.92682926829268,-0.00867499390243864,-0.0296792012195084
136,Sonari,3,2017-11-08T06:40:00Z,2017-11-08,2017,11,8,181,1,22.819303,86.173785,0.298780487804878,2.71165644171779,1.92682926829268,0.0195070060975624,-0.0355182012195172
137,Sonari,3,2017-11-09T06:40:00Z,2017-11-09,2017,11,8,175,1,22.819303,86.173785,0.298780487804878,2.71165644171779,1.92682926829268,0.0195070060975624,-0.0355182012195172
138,Mango II,4,2017-11-06T06:20:00Z,2017-11-06,2017,11,8,159,0,22.830661,86.230961,-0.701219512195122,2.71165644171779,1.92682926829268,0.0308650060975602,0.0216577987804811
139,Mango II,4,2017-11-07T06:20:00Z,2017-11-07,2017,11,8,143,0,22.830661,86.230961,-0.701219512195122,2.71165644171779,1.92682926829268,0.0308650060975602,0.0216577987804811
140,Telco,5,2017-11-08T07:45:00Z,2017-11-08,2017,11,8,145,1,22.781598,86.232524,0.298780487804878,2.71165644171779,1.92682926829268,-0.0181979939024401,0.0232207987804856
141,Telco,5,2017-11-09T07:45:00Z,2017-11-09,2017,11,8,122,1,22.781598,86.232524,0.298780487804878,2.71165644171779,1.92682926829268,-0.0181979939024401,0.0232207987804856
143,Adityapur,10,2017-11-08T06:35:00Z,2017-11-08,2017,11,8,132,0,22.78303,86.151335,-0.701219512195122,2.71165644171779,1.92682926829268,-0.0167659939024389,-0.0579682012195093
144,Adityapur,10,2017-11-09T06:35:00Z,2017-11-09,2017,11,8,143,0,22.78303,86.151335,-0.701219512195122,2.71165644171779,1.92682926829268,-0.0167659939024389,-0.0579682012195093
145,Mango I,7,2017-11-06T06:29:00Z,2017-11-06,2017,11,8,257,0,22.830661,86.230961,-0.701219512195122,2.71165644171779,1.92682926829268,0.0308650060975602,0.0216577987804811
146,Mango I,7,2017-11-07T06:29:00Z,2017-11-07,2017,11,8,267,0,22.830661,86.230961,-0.701219512195122,2.71165644171779,1.92682926829268,0.0308650060975602,0.0216577987804811
150,Golmuri,8,2016-11-01T06:58:00Z,2016-11-01,2016,11,6,0,1,22.796953,86.216913,0.298780487804878,0.711656441717792,1.92682926829268,-0.00284299390244058,0.00760979878049284
151,Baridih,9,2017-11-06T06:45:00Z,2017-11-06,2017,11,8,153,1,22.805245,86.251201,0.298780487804878,2.71165644171779,1.92682926829268,0.00544900609756027,0.0418977987804823
152,Baridih,9,2017-11-07T06:45:00Z,2017-11-07,2017,11,8,138,1,22.805245,86.251201,0.298780487804878,2.71165644171779,1.92682926829268,0.00544900609756027,0.0418977987804823
153,Golmuri,8,2017-11-04T06:56:00Z,2017-11-04,2017,11,8,124,1,22.796953,86.216913,0.298780487804878,2.71165644171779,1.92682926829268,-0.00284299390244058,0.00760979878049284
154,Golmuri,8,2017-11-05T06:55:00Z,2017-11-05,2017,11,8,114,1,22.796953,86.216913,0.298780487804878,2.71165644171779,1.92682926829268,-0.00284299390244058,0.00760979878049284
155,Bistupur,2,2017-11-11T06:16:00Z,2017-11-11,2017,11,8,93,1,22.791121,86.179624,0.298780487804878,2.71165644171779,1.92682926829268,-0.00867499390243864,-0.0296792012195084
156,Telco,5,2017-11-12T07:43:00Z,2017-11-12,2017,11,8,154,1,22.781598,86.232524,0.298780487804878,2.71165644171779,1.92682926829268,-0.0181979939024401,0.0232207987804856
158,Jugsalai,6,2017-11-11T06:25:00Z,2017-11-11,2017,11,8,210,1,22.763927,86.18805,0.298780487804878,2.71165644171779,1.92682926829268,-0.0358689939024401,-0.0212532012195084
159,Sidghora,1,2017-11-10T06:59:00Z,2017-11-10,2017,11,8,136,1,22.802352,86.231547,0.298780487804878,2.71165644171779,1.92682926829268,0.00255600609756002,0.0222437987804938
164,Jugsalai,6,2017-11-10T06:25:00Z,2017-11-10,2017,11,8,187,1,22.763927,86.18805,0.298780487804878,2.71165644171779,1.92682926829268,-0.0358689939024401,-0.0212532012195084
165,Jugsalai,6,2017-11-12T06:25:00Z,2017-11-12,2017,11,8,248,1,22.763927,86.18805,0.298780487804878,2.71165644171779,1.92682926829268,-0.0358689939024401,-0.0212532012195084
166,Sidghora,1,2018-12-15T06:59:00Z,2018-12-15,2018,11,10,123,1,22.802352,86.231547,0.298780487804878,4.71165644171779,1.92682926829268,0.00255600609756002,0.0222437987804938
167,Sidghora,1,2018-12-16T06:59:00Z,2018-12-16,2018,11,10,133,1,22.802352,86.231547,0.298780487804878,4.71165644171779,1.92682926829268,0.00255600609756002,0.0222437987804938
168,Golmuri,8,2018-12-15T06:45:00Z,2018-12-15,2018,11,10,165,1,22.796953,86.216913,0.298780487804878,4.71165644171779,1.92682926829268,-0.00284299390244058,0.00760979878049284
169,Golmuri,8,2018-12-16T06:45:00Z,2018-12-16,2018,11,10,159,1,22.796953,86.216913,0.298780487804878,4.71165644171779,1.92682926829268,-0.00284299390244058,0.00760979878049284
170,Baridih,9,2018-12-15T06:45:00Z,2018-12-15,2018,11,10,1,1,22.805245,86.251201,0.298780487804878,4.71165644171779,1.92682926829268,0.00544900609756027,0.0418977987804823
171,Baridih,9,2018-12-16T06:45:00Z,2018-12-16,2018,11,10,147,1,22.805245,86.251201,0.298780487804878,4.71165644171779,1.92682926829268,0.00544900609756027,0.0418977987804823
172,Bistupur,2,2018-12-19T06:15:00Z,2018-12-19,2018,11,10,90,1,22.791121,86.179624,0.298780487804878,4.71165644171779,1.92682926829268,-0.00867499390243864,-0.0296792012195084
173,Bistupur,2,2018-12-20T06:15:00Z,2018-12-20,2018,11,10,109,1,22.791121,86.179624,0.298780487804878,4.71165644171779,1.92682926829268,-0.00867499390243864,-0.0296792012195084
174,Adityapur,10,2018-12-19T06:35:00Z,2018-12-19,2018,11,10,165,0,22.78303,86.151335,-0.701219512195122,4.71165644171779,1.92682926829268,-0.0167659939024389,-0.0579682012195093
175,Adityapur,10,2018-12-20T06:35:00Z,2018-12-20,2018,11,10,215,0,22.78303,86.151335,-0.701219512195122,4.71165644171779,1.92682926829268,-0.0167659939024389,-0.0579682012195093
176,Jugsalai,6,2018-12-19T06:25:00Z,2018-12-19,2018,11,10,206,1,22.763927,86.18805,0.298780487804878,4.71165644171779,1.92682926829268,-0.0358689939024401,-0.0212532012195084
177,Jugsalai,6,2018-12-20T06:35:00Z,2018-12-20,2018,11,10,171,1,22.763927,86.18805,0.298780487804878,4.71165644171779,1.92682926829268,-0.0358689939024401,-0.0212532012195084
178,Bistupur,2,2018-12-21T06:15:00Z,2018-12-21,2018,11,10,99,1,22.791121,86.179624,0.298780487804878,4.71165644171779,1.92682926829268,-0.00867499390243864,-0.0296792012195084
179,Jugsalai,6,2018-12-21T06:25:00Z,2018-12-21,2018,11,10,214,1,22.763927,86.18805,0.298780487804878,4.71165644171779,1.92682926829268,-0.0358689939024401,-0.0212532012195084
180,Adityapur,10,2018-12-21T06:35:00Z,2018-12-21,2018,11,10,218,0,22.78303,86.151335,-0.701219512195122,4.71165644171779,1.92682926829268,-0.0167659939024389,-0.0579682012195093
182,Telco,5,2018-12-21T07:48:00Z,2018-12-21,2018,11,10,129,1,22.781598,86.232524,0.298780487804878,4.71165644171779,1.92682926829268,-0.0181979939024401,0.0232207987804856
183,Telco,5,2018-12-22T07:25:00Z,2018-12-22,2018,11,10,125,1,22.781598,86.232524,0.298780487804878,4.71165644171779,1.92682926829268,-0.0181979939024401,0.0232207987804856
184,Mango I,7,2018-12-22T06:35:00Z,2018-12-22,2018,11,10,229,0,22.830661,86.230961,-0.701219512195122,4.71165644171779,1.92682926829268,0.0308650060975602,0.0216577987804811
185,Mango I,7,2018-12-23T06:35:00Z,2018-12-23,2018,11,10,223,0,22.830661,86.230961,-0.701219512195122,4.71165644171779,1.92682926829268,0.0308650060975602,0.0216577987804811
186,Sonari,3,2018-12-22T06:40:00Z,2018-12-22,2018,11,10,141,1,22.819303,86.173785,0.298780487804878,4.71165644171779,1.92682926829268,0.0195070060975624,-0.0355182012195172
187,Sonari,3,2018-12-23T06:40:00Z,2018-12-23,2018,11,10,165,1,22.819303,86.173785,0.298780487804878,4.71165644171779,1.92682926829268,0.0195070060975624,-0.0355182012195172
188,Mango II,4,2018-12-22T06:20:00Z,2018-12-22,2018,11,10,207,0,22.830661,86.230961,-0.701219512195122,4.71165644171779,1.92682926829268,0.0308650060975602,0.0216577987804811
189,Mango II,4,2018-12-23T06:20:00Z,2018-12-23,2018,11,10,212,0,22.830661,86.230961,-0.701219512195122,4.71165644171779,1.92682926829268,0.0308650060975602,0.0216577987804811
190,Baridih,9,2018-12-24T06:45:00Z,2018-12-24,2018,11,10,106,1,22.805245,86.251201,0.298780487804878,4.71165644171779,1.92682926829268,0.00544900609756027,0.0418977987804823
191,Baridih,9,2018-12-25T06:45:00Z,2018-12-25,2018,11,10,159,1,22.805245,86.251201,0.298780487804878,4.71165644171779,1.92682926829268,0.00544900609756027,0.0418977987804823
